id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
324,162,325,4126,3070,274585,500,10,1000,40

325,162,324,3070,4126,400439,3794,205,1,40

326,163,327,4126,2070,801350,500,10,1000,40

327,163,326,2070,4126,133548,10000,2500,1,4

328,164,329,703,649,564408,1000,1,1000,144

329,164,328,649,703,48980,0,0,0,0

330,165,331,703,1216,989263,1000,1,1000,144

331,165,330,1216,703,104782,0,0,0,0

332,166,333,703,761,856267,1000,1,1000,144

333,166,332,761,703,198310,1000,1,1000,144

334,167,335,703,790,319877,1000,1,1000,144

335,167,334,790,703,595193,0,0,0,0

336,168,337,703,516,712582,450,1,1000,144

337,168,336,516,703,231489,0,0,0,0

338,169,339,703,971,226052,450,1,1,144

339,169,338,971,703,707202,0,0,450,144

340,170,341,703,818,1186859,450,1,1000,144

341,170,340,818,703,120239,0,0,0,0

342,171,343,703,1134,585318,450,1,1000,144

343,171,342,1134,703,336969,1,1000,1000,144

344,172,345,703,3150,181330,450,1,1000,144

345,172,344,3150,703,698424,1000,1,450,40

346,173,347,703,2125,299461,450,1,1000,40

347,173,346,2125,703,616045,1000,1,450,40

348,174,349,2468,1575,1017426,0,4000,1000,30

349,174,348,1575,2468,219862,1000,1,1000,40

350,175,351,1030,2498,1065311,50000,990,1000,29

351,175,350,2498,1030,45146,1000,1,1,40

352,176,353,797,1762,235457,1000,1,1000,144

353,176,352,1762,797,725465,1000,1,1000,144

354,177,355,797,1170,229518,1000,1,1000,40

355,177,354,1170,797,532866,42,2,1000,42

356,178,357,3868,797,72698,500,50,1000,40

357,178,356,797,3868,715911,1000,1,1000,40

358,179,359,1341,2393,383194,20,839,1000,40

359,179,358,2393,1341,668995,1000,1,1000,40

360,180,361,2076,154,197556,1000,1,1000,40

361,180,360,154,2076,834958,1000,1,1000,40

362,181,363,2076,154,235291,1000,1,1000,40

363,181,362,154,2076,856522,1000,1,1000,40

364,182,365,1455,1226,654422,0,0,1000,9

365,182,364,1226,1455,227834,489,1000,1000,144

366,183,367,1226,1565,344901,489,1000,1000,144

367,183,366,1565,1226,685160,0,0,0,0

368,184,369,2423,1226,708970,0,0,0,0

369,184,368,1226,2423,312624,489,1000,1000,144

370,185,371,2601,1226,737970,0,0,0,0

371,185,370,1226,2601,532830,489,1000,1000,144

372,186,373,1226,1326,637676,1000,1,1000,40

373,186,372,1326,1226,216320,1000,1,1000,40

374,187,375,2946,1226,231049,1000,1,1000,40

375,187,374,1226,2946,921887,1000,1,1000,40

376,188,377,3920,1270,550255,1000,1,1000,40

377,188,376,1270,3920,633256,1000,1000,1,30

378,189,379,1300,1752,274116,49,1999,1000,30

379,189,378,1752,1300,880165,1,1,1000,40

380,190,381,1031,1102,871146,1000,555,1000,144

381,190,380,1102,1031,42295,1000,1,1000,40

382,191,383,1283,2167,835714,0,0,0,0

383,191,382,2167,1283,245588,1000,1,1000,144

384,192,385,1812,1762,224376,1000,1,1000,144

385,192,384,1762,1812,873874,1000,1,1000,144

386,193,387,2502,1333,797066,420,42,1000,288

387,193,386,1333,2502,188227,1000,1,1000,144

388,194,389,2054,2502,6575,0,0,0,0

389,194,388,2502,2054,1084197,420,42,1000,288

390,195,391,1802,2502,252683,1000,1,1000,144

391,195,390,2502,1802,475942,420,42,1000,288

392,196,393,2502,4421,647636,1000,1,1,40

393,196,392,4421,2502,670867,500,9,1000,14

394,197,395,797,3070,316288,1000,1,0,40

395,197,394,3070,797,561257,999,1,1000,40

396,198,397,77,61,353458,4682,90,16473,172

397,198,396,61,77,485712,0,0,0,0

398,199,399,2470,2473,714011,0,0,1,4

399,199,398,2473,2470,130221,0,0,1,4

400,200,401,836,1230,273655,1000,1,1,40

401,200,400,1230,836,704379,100,10,1000,40

402,201,403,1386,1230,408510,4,56,1000,144

403,201,402,1230,1386,891026,316,56,1000,40

404,202,405,1453,1230,55045,1000,1,1000,144

405,202,404,1230,1453,1212755,100,10,1000,40

406,203,407,5277,1230,536630,1000,1,1000,40

407,203,406,1230,5277,572365,1000,200,1000,40

408,204,409,3743,1230,35304,1000,1,1000,40

409,204,408,1230,3743,936641,1000,200,1000,40

410,205,411,1224,1230,216770,1000,1,1000,20

